Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Cessna 152,General,VMC,Landing,Substantial,753
Cessna 172,Human Error,VMC,Unknown,Substantial,475
Cessna 172,General,VMC,Landing,Substantial,346
Cessna 172N,General,VMC,Landing,Substantial,320
Cessna 152,General,VMC,Takeoff,Substantial,298
Cessna 152,General,VMC,Cruise,Substantial,279
Boeing 737,Unknown,UNK,Unknown,Unknown,248
Cessna 172P,General,VMC,Landing,Substantial,229
Cessna 172M,General,VMC,Landing,Substantial,214
Cessna 180,General,VMC,Landing,Substantial,202
Piper PA-28-140,General,VMC,Takeoff,Substantial,177
Piper PA-18,General,VMC,Landing,Substantial,172
Cessna 152,Human Error,VMC,Unknown,Substantial,160
Cessna 180,Human Error,VMC,Unknown,Substantial,154
Cessna 172,General,VMC,Takeoff,Substantial,154
Cessna 172S,Human Error,VMC,Unknown,Substantial,150
Piper PA28,Human Error,VMC,Unknown,Substantial,148
Cessna 182,Human Error,VMC,Unknown,Substantial,147
Piper PA-28-140,General,VMC,Landing,Substantial,146
Piper PA-18-150,General,VMC,Landing,Substantial,145
Cessna 170B,General,VMC,Landing,Substantial,135
Cessna 150M,General,VMC,Landing,Substantial,134
Cessna 150,General,VMC,Landing,Substantial,134
Piper PA-18,General,VMC,Takeoff,Substantial,132
Cessna 140,General,VMC,Landing,Substantial,129
Cessna 172N,Human Error,VMC,Unknown,Substantial,128
Cessna 150,General,VMC,Takeoff,Substantial,128
Cessna 172N,General,VMC,Takeoff,Substantial,126
Piper PA-28-161,General,VMC,Landing,Substantial,122
Piper PA-18-150,Human Error,VMC,Unknown,Substantial,120
Cessna 152,General,VMC,Approach,Substantial,116
Piper PA-38-112,General,VMC,Landing,Substantial,116
Piper PA-28-180,General,VMC,Landing,Substantial,114
Boeing 737,Unknown,UNK,Unknown,Minor,114
Piper PA-38-112,General,VMC,Takeoff,Substantial,110
Cessna 150,General,VMC,Cruise,Substantial,108
Grumman G-164A,General,VMC,Maneuvering,Substantial,108
Cessna 182,General,VMC,Landing,Substantial,103
Cessna 172M,Human Error,VMC,Unknown,Substantial,102
Cessna 152,General,VMC,Maneuvering,Destroyed,99
Cessna 185,General,VMC,Landing,Substantial,98
Cessna 172S,General,VMC,Landing,Substantial,97
Cessna 182Q,General,VMC,Landing,Substantial,95
Piper PA-28-181,General,VMC,Landing,Substantial,91
Piper PA-18-150,General,VMC,Takeoff,Substantial,91
Cessna 182P,General,VMC,Landing,Substantial,90
Cessna 152,General,VMC,Maneuvering,Substantial,90
Cessna 172N,General,VMC,Cruise,Substantial,88
Cessna 150,Human Error,VMC,Unknown,Substantial,88
Robinson.Helicopter R22 BETA,Human Error,VMC,Unknown,Substantial,85
Cessna 150M,General,VMC,Cruise,Substantial,84
Cessna 172,General,VMC,Cruise,Substantial,84
Robinson.Helicopter.Company R44 II,Human Error,VMC,Unknown,Substantial,83
Piper PA-28-140,Human Error,VMC,Unknown,Substantial,81
Piper PA-12,General,VMC,Landing,Substantial,81
Piper PA-28-140,General,VMC,Cruise,Substantial,81
Cessna 170B,General,VMC,Takeoff,Substantial,80
Piper PA-28-161,General,VMC,Takeoff,Substantial,80
Cessna A185F,General,VMC,Landing,Substantial,80
Piper PA-25-235,General,VMC,Maneuvering,Substantial,79
Cessna 172,General,VMC,Approach,Substantial,78
Cessna 172M,General,VMC,Takeoff,Substantial,78
Cessna 172P,Human Error,VMC,Unknown,Substantial,76
Cessna 140,Human Error,VMC,Unknown,Substantial,75
Piper PA18,Human Error,VMC,Unknown,Substantial,74
Cessna 140,General,VMC,Takeoff,Substantial,74
Cessna 150M,General,VMC,Takeoff,Substantial,74
Cessna 180,General,VMC,Takeoff,Substantial,74
Grumman G-164A,General,VMC,Takeoff,Substantial,72
Piper PA-22-150,General,VMC,Landing,Substantial,71
Cessna 150L,General,VMC,Landing,Substantial,71
Piper PA-32-300,General,VMC,Landing,Substantial,71
Piper PA-28-180,General,VMC,Takeoff,Substantial,71
Cessna 170B,Human Error,VMC,Unknown,Substantial,70
Cessna A188B,General,VMC,Maneuvering,Substantial,70
Piper PA-20,General,VMC,Landing,Substantial,69
Piper PA-28-181,General,VMC,Cruise,Substantial,69
Cessna A188B,General,VMC,Takeoff,Substantial,68
Piper PA-28-180,General,VMC,Cruise,Substantial,65
Bell 206B,General,VMC,Maneuvering,Substantial,64
Cessna 172P,General,VMC,Takeoff,Substantial,64
Bell 206B,Human Error,VMC,Unknown,Substantial,63
Robinson R44,Unknown,UNK,Unknown,Substantial,63
Piper PA-34-200T,General,VMC,Landing,Substantial,63
Cessna 150L,General,VMC,Cruise,Substantial,62
Luscombe 8A,General,VMC,Landing,Substantial,62
Beech A36,Human Error,VMC,Unknown,Substantial,62
Cessna 172,Unknown,VMC,Unknown,Substantial,61
Cirrus.Design.Corp SR22,Human Error,VMC,Unknown,Substantial,61
Cessna 172,Unknown,UNK,Unknown,Substantial,60
Piper PA-28R-200,General,VMC,Landing,Substantial,60
Cessna A185F,Human Error,VMC,Unknown,Substantial,59
Piper PA-22,General,VMC,Landing,Substantial,59
Cessna 170,Human Error,VMC,Unknown,Substantial,59
Cessna 172,General,VMC,Taxi,Substantial,59
Bell 206B,General,VMC,Cruise,Substantial,58
Airbus A320,Unknown,UNK,Unknown,Unknown,57
Cessna 182,General,VMC,Takeoff,Substantial,57
Piper PA-24-250,General,VMC,Cruise,Substantial,57
Air.Tractor AT-301,General,VMC,Maneuvering,Substantial,57
Cessna 150L,General,VMC,Takeoff,Substantial,57
Cessna A188B,General,VMC,Maneuvering,Destroyed,56
Cessna 172R,General,VMC,Landing,Substantial,56
Cessna 185,General,VMC,Takeoff,Substantial,55
Hiller UH-12E,General,VMC,Maneuvering,Substantial,55
Cessna 172R,Human Error,VMC,Unknown,Substantial,54
Cessna A185,Human Error,VMC,Unknown,Substantial,54
Grumman G-164A,General,VMC,Maneuvering,Destroyed,54
Cessna 150,General,VMC,Approach,Substantial,54
Cessna 177,General,VMC,Landing,Substantial,54
Piper PA-28-140,General,VMC,Takeoff,Destroyed,54
Cessna 172RG,General,VMC,Landing,Substantial,53
Grumman G-164B,General,VMC,Maneuvering,Substantial,53
Piper PA-18,General,VMC,Maneuvering,Substantial,53
Piper PA-22-150,General,VMC,Takeoff,Substantial,52
Bell 206B,General,VMC,Takeoff,Substantial,52
Cessna 152,General,VMC,Go_around,Substantial,52
Boeing 737,Unknown,UNK,Unknown,Substantial,52
Piper PA-28R-200,General,VMC,Cruise,Substantial,52
Cessna 152,General,VMC,Taxi,Substantial,52
Robinson R44,Human Error,VMC,Unknown,Substantial,51
Piper PA-24-250,General,VMC,Landing,Substantial,51
Bellanca 7GCBC,General,VMC,Landing,Substantial,51
Cessna 170A,General,VMC,Landing,Substantial,50
Aeronca 7AC,Human Error,VMC,Unknown,Substantial,50
Piper PA 18-150,Human Error,VMC,Unknown,Substantial,49
Aeronca 7AC,General,VMC,Landing,Substantial,49
Piper PA-28-140,General,VMC,Approach,Substantial,49
Beech 58,General,VMC,Landing,Substantial,49
Cessna 185F,General,VMC,Landing,Substantial,49
Hughes 369D,General,VMC,Maneuvering,Substantial,49
Cessna 172N,General,VMC,Approach,Substantial,49
Robinson.Helicopter R44,Human Error,VMC,Unknown,Substantial,49
Piper PA-28-180,Human Error,VMC,Unknown,Substantial,48
Cessna 172K,General,VMC,Landing,Substantial,48
Cessna 150L,General,VMC,Approach,Substantial,47
Cessna 150H,General,VMC,Takeoff,Substantial,47
Piper PA-28-181,Human Error,VMC,Unknown,Substantial,46
Cessna 206,General,VMC,Landing,Substantial,46
Cessna 182P,Human Error,VMC,Unknown,Substantial,45
Cessna 182P,General,VMC,Takeoff,Substantial,45
Cessna 182,General,VMC,Cruise,Substantial,45
Beech C23,General,VMC,Landing,Substantial,45
Cessna 152,General,VMC,Approach,Destroyed,45
Bellanca 7ECA,General,VMC,Landing,Substantial,45
Cessna 210,General,VMC,Landing,Substantial,44
Cessna 150F,General,VMC,Landing,Substantial,44
Cessna 152,General,VMC,Cruise,Destroyed,44
Mooney M20J,Human Error,VMC,Unknown,Substantial,44
